     , parameters                                   , name           , rmsd_start        , rmsd_end          , plddt            , ptm , rmsd_constraint, langevin, single_state_plddt, single_state_rmsd , curvature_mean, curvature_max, U                  , -PLL              , score, backbone, seq_model
 5360, 5KPE-5KPH_refined_caliby_multi-state_temp10-1, 5KPE_4_8_1_id0 , 1.392878770828247 , 1.4304691553115845, 91.68944444444443, 0.78,               4,        8,  88.99231481481482, 0.830422580242157 ,      22.66142 ,     69.50115 , -217.04347229003903, 2.565934357819734 ,      , rfd     , caliby
 5438, 5KPE-5KPH_refined_caliby_multi-state_temp10-1, 5KPE_4_8_4_id14, 1.3246763944625854, 1.4945231676101685, 91.35925925925925, 0.78,               4,        8,  94.4301851851852 , 0.5496018528938293,      22.076084,     73.191795, -218.463119506836  , 2.760603728117766 ,      , rfd     , caliby
 5452, 5KPE-5KPH_refined_caliby_multi-state_temp10-1, 5KPE_4_8_4_id6 , 1.4278520345687866, 1.391255021095276 , 90.66314814814815, 0.76,               4,        8,  94.4301851851852 , 0.5496018528938293,      22.076084,     73.191795, -215.09243774414065, 2.68913890697338  ,      , rfd     , caliby
20011, 5KPE-5KPH_refined_caliby_multi-state_temp10-2, 5KPE_4_2_9_id16, 1.2201929092407229, 1.3537893295288086, 93.9825          , 0.84,               4,        2,  89.30731481481482, 0.8800322413444519,      22.665897,     78.32758 , -224.47702026367188, 1.9506827460394964,      , rfd     , caliby
20339, 5KPE-5KPH_refined_caliby_multi-state_temp10-2, 5KPE_4_6_4_id0 , 1.3992477655410769, 1.2177565097808838, 93.2425925925926 , 0.81,               4,        6,  94.4698148148148 , 0.5408238768577576,      22.135323,     72.250755, -224.88638305664065, 1.9161115575719765,      , rfd     , caliby
