name,seed,model,plddt,ptm,rmsd_start,rmsd_end
5KPE_6_8_5_id8,42,4,81.70796296296297,0.66,2.0546951293945312,4.7416582107543945
5KPE_4_8_2_id20,42,2,82.80749999999999,0.66,1.6020991802215576,3.28704571723938
5KPH_4_8_9_id17,44,5,92.6765277777778,0.73,0.7486101388931274,4.3737640380859375
5KPH_2_6_7_id10,44,4,93.03319444444443,0.79,0.8857797384262085,2.48108172416687
5KPH_2_2_1_id3,43,1,93.72430555555556,0.77,0.679027259349823,2.077725410461426
5KPE_4_6_6_id4,44,1,83.04018518518517,0.66,1.3553626537322998,3.4861743450164795
5KPE_4_8_9_id1,42,5,83.15435185185186,0.67,1.893067717552185,3.206929922103882
5KPH_2_6_2_id11,43,2,95.88388888888888,0.82,0.9472805857658386,2.584840774536133
5KPE_4_6_5_id2,42,5,89.17638888888888,0.75,1.68978750705719,3.2206718921661377
5KPH_4_6_4_id17,42,3,91.59152777777776,0.73,0.7214382886886597,4.064329624176025
5KPH_2_6_2_id4,42,3,92.13180555555556,0.75,0.682926595211029,2.029951333999634
5KPE_4_8_9_id7,43,1,86.5998148148148,0.7,1.700960636138916,3.359952926635742
5KPH_2_6_0_id15,43,3,93.47180555555556,0.76,1.5714322328567505,1.0430941581726074
5KPE_2_4_5_id12,43,5,86.11499999999998,0.74,1.909977674484253,1.6836543083190918
5KPH_2_4_3_id3,43,1,93.84472222222222,0.78,0.7680965065956116,2.47554087638855
5KPH_2_2_4_id3,43,2,96.30888888888887,0.84,0.7165558934211731,2.04538893699646
5KPE_2_4_0_id2,42,4,86.13777777777777,0.74,1.713707447052002,1.5840812921524048
5KPH_2_8_0_id11,43,2,93.7675,0.79,1.0229828357696533,2.568068027496338
5KPE_4_4_0_id14,43,2,85.46249999999998,0.73,1.8543254137039185,3.3894519805908203
5KPH_2_4_1_id2,42,5,89.66916666666667,0.7,0.7255871891975403,2.3898398876190186
5KPH_2_6_8_id14,43,1,91.17541666666666,0.73,0.7694069147109985,2.060481071472168
5KPH_4_2_2_id20,44,4,87.86291666666665,0.7,0.9488959908485413,4.129002094268799
5KPH_2_2_2_id5,43,2,87.17125,0.68,1.2586922645568848,1.4003294706344604
5KPE_2_4_2_id22,43,3,88.15166666666666,0.73,1.4306389093399048,1.562239170074463
5KPH_4_6_6_id3,43,4,94.00277777777778,0.79,0.6958922147750854,4.443088531494141
5KPE_4_6_3_id19,42,2,85.73250000000002,0.68,3.3449790477752686,5.4799418449401855
5KPE_2_6_2_id1,44,1,65.36787037037035,0.45,9.047271728515625,9.434897422790527
5KPH_4_8_5_id5,43,5,90.04541666666667,0.73,1.8503693342208862,2.660335063934326
5KPE_4_6_0_id3,43,2,84.39777777777779,0.68,1.9799530506134033,3.1015467643737793
5KPH_4_2_2_id21,44,5,87.8790277777778,0.67,1.5329296588897705,3.1818912029266357
5KPH_2_2_3_id11,43,1,94.38541666666669,0.8,0.7188463807106018,2.407837390899658
5KPE_4_8_3_id22,42,2,85.5573148148148,0.72,1.5468114614486694,3.675739288330078
5KPE_4_4_8_id15,44,3,90.14962962962964,0.78,1.8741047382354736,3.565105676651001
5KPE_4_8_9_id16,42,3,83.55935185185184,0.67,2.1683740615844727,3.317810297012329
5KPH_4_2_0_id7,44,5,94.33791666666669,0.79,0.9213936924934387,4.526952743530273
5KPH_4_2_9_id16,43,1,92.60166666666667,0.73,0.9594386219978333,4.141358852386475
5KPE_2_2_1_id12,43,4,92.96814814814816,0.83,1.6008235216140747,1.9418329000473022
5KPH_4_4_1_id20,44,1,94.61083333333332,0.8,0.970590353012085,4.591380596160889
5KPH_2_8_2_id17,44,1,92.78569444444445,0.75,0.805297315120697,2.390896797180176
5KPE_4_4_9_id5,43,4,87.31861111111111,0.74,1.7376854419708252,2.802741050720215
5KPE_6_8_5_id0,43,1,88.48166666666665,0.75,2.9513185024261475,4.584100246429443
5KPE_4_2_5_id3,42,4,77.99370370370372,0.67,9.74906063079834,9.921160697937012
5KPH_4_8_4_id0,42,4,94.10402777777776,0.78,0.810991644859314,4.310053825378418
5KPE_4_2_6_id4,42,3,87.83638888888889,0.71,2.929072856903076,4.619026184082031
5KPE_2_4_0_id22,43,4,89.76064814814815,0.78,1.5795615911483765,1.4706251621246338
5KPE_2_8_8_id10,43,3,74.76314814814815,0.57,5.171550273895264,5.457120895385742
5KPE_8_2_7_id17,44,2,74.36277777777777,0.58,1.3589191436767578,7.309125900268555
5KPE_2_4_3_id6,43,3,86.90249999999999,0.68,1.3251351118087769,1.702390432357788
5KPH_2_4_6_id14,42,4,89.93125,0.73,0.6742832064628601,1.9919036626815796
5KPH_2_6_1_id1,44,2,95.09694444444445,0.82,0.7708813548088074,2.6331722736358643
5KPH_4_2_5_id1,42,4,94.76611111111112,0.8,0.7652110457420349,4.212182998657227
5KPE_2_8_1_id3,42,2,63.59759259259259,0.52,11.975863456726074,11.742704391479492
5KPH_4_2_7_id7,44,2,95.42736111111113,0.82,1.0213590860366821,4.653124809265137
5KPE_4_4_1_id13,43,1,90.41055555555556,0.78,1.7072757482528687,3.0415613651275635
5KPH_2_8_1_id16,42,2,92.59708333333332,0.78,0.9020571708679199,2.2650341987609863
5KPE_4_6_6_id0,42,5,84.58731481481482,0.66,1.5580484867095947,3.045501947402954
5KPE_2_4_2_id17,42,2,88.64805555555557,0.74,2.2524354457855225,1.3716497421264648
5KPE_4_8_2_id14,42,1,86.60990740740742,0.69,1.5047143697738647,3.4607326984405518
5KPH_4_6_2_id2,44,3,86.04694444444445,0.63,2.2104368209838867,3.7355918884277344
5KPH_6_4_0_id7,44,1,93.22833333333334,0.76,0.6996234059333801,6.172480583190918
