,name,rank,plddt,ptm,rmsd_string,rmsd_diffusion,plddt_nonrefined,ptm_nonrefined,rmsd_string_nonrefined,rmsd_var,langevin
1638,5KPE_2_2_0_id1,1,87.92787037037039,0.73,1.0022375583648682,0.8062382340431213,82.65814814814813,0.7,1.7892675399780273,2,2
11773,5KPE_2_2_0_id1,2,87.47851851851853,0.73,1.2121261358261108,1.052992820739746,67.87685185185185,0.56,11.142601013183594,2,2
3158,5KPE_2_2_0_id1,3,87.35601851851852,0.7,1.038354516029358,0.861001193523407,67.69157407407407,0.57,11.451571464538574,2,2
11754,5KPE_2_2_0_id1,4,86.47907407407408,0.71,1.100107192993164,0.9796682596206665,65.47851851851853,0.59,10.25342845916748,2,2
8552,5KPE_2_2_0_id1,5,70.50675925925927,0.56,9.804841041564941,9.781858444213867,62.116388888888885,0.56,11.719366073608398,2,2
8203,5KPE_2_2_0_id2,1,92.71379629629628,0.83,0.9089057445526123,0.6405190229415894,84.70064814814815,0.69,1.2205506563186646,2,2
7622,5KPE_2_2_0_id2,2,91.40148148148148,0.8,1.042603850364685,0.8171684145927429,84.28268518518519,0.66,1.686240553855896,2,2
10053,5KPE_2_2_0_id2,3,91.22814814814816,0.78,0.9124001264572144,0.6730724573135376,84.10157407407407,0.66,1.4003971815109253,2,2
5186,5KPE_2_2_0_id2,4,90.99472222222224,0.77,0.9612663388252258,0.7302577495574951,82.40740740740739,0.67,1.3958030939102173,2,2
12278,5KPE_2_2_0_id2,5,90.66009259259256,0.79,0.9450861811637878,0.701081395149231,81.91185185185184,0.66,1.4550472497940063,2,2
6151,5KPE_2_2_0_id3,1,90.05555555555556,0.76,0.8807190656661987,0.6794847249984741,83.66574074074073,0.73,1.2617270946502686,2,2
8570,5KPE_2_2_0_id3,2,89.73416666666664,0.73,0.8323523998260498,0.7071645855903625,82.74851851851852,0.68,1.190313696861267,2,2
4975,5KPE_2_2_0_id3,3,89.44416666666666,0.74,0.9368733763694763,0.7669203281402588,81.95342592592594,0.7,1.0973060131072998,2,2
4075,5KPE_2_2_0_id3,4,89.30175925925924,0.75,0.8673571944236755,0.7105356454849243,81.51277777777777,0.65,1.3299375772476196,2,2
278,5KPE_2_2_0_id3,5,88.81157407407407,0.71,1.0031046867370605,0.866218090057373,70.16842592592594,0.59,11.30963134765625,2,2
2096,5KPE_2_2_0_id4,1,84.69009259259259,0.67,1.0091291666030884,0.8675119876861572,83.75944444444445,0.66,1.1792817115783691,2,2
698,5KPE_2_2_0_id4,2,73.02944444444444,0.57,2.402554750442505,2.325167179107666,83.70101851851852,0.68,1.262694001197815,2,2
1637,5KPE_2_2_0_id4,3,68.22453703703704,0.56,2.0432357788085938,1.949027419090271,83.26166666666666,0.65,1.3041752576828003,2,2
8253,5KPE_2_2_0_id4,4,65.43351851851851,0.54,9.775474548339844,9.758753776550293,83.1262962962963,0.64,1.2718174457550049,2,2
3824,5KPE_2_2_0_id4,5,65.00453703703704,0.51,8.936732292175293,8.812464714050293,83.04018518518515,0.64,1.6497944593429565,2,2
1388,5KPE_2_2_0_id5,1,80.82277777777777,0.64,9.960906028747559,9.976927757263184,82.77240740740739,0.66,1.9806098937988281,2,2
5097,5KPE_2_2_0_id5,2,75.27842592592593,0.58,9.775936126708984,9.796753883361816,82.01453703703704,0.67,1.6414490938186646,2,2
7477,5KPE_2_2_0_id5,3,73.18018518518518,0.56,9.913675308227539,9.923843383789062,81.45907407407405,0.66,1.4593982696533203,2,2
9081,5KPE_2_2_0_id5,4,64.0875925925926,0.51,9.735589027404785,9.736875534057617,79.93759259259261,0.62,1.7942496538162231,2,2
