name,rmsd_start,rmsd_end,plddt,ptm,rmsd_constraint,langevin,single_state_plddt,single_state_rmsd,curvature_mean,curvature_max,score,-PLL
5KPE_2_2_0_combined_id1,1.6424001455307007,1.1771509647369385,90.55962962962964,0.76,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1862,2.2792089956778065
5KPE_2_2_0_combined_id10,1.369613528251648,1.16311514377594,92.62629629629627,0.8,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1777,2.3627156858091003
5KPE_2_2_0_combined_id11,1.554126501083374,1.3593034744262695,89.45305555555554,0.75,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1813,2.0551969740125866
5KPE_2_2_0_combined_id12,1.3746893405914307,1.453139305114746,92.3087962962963,0.8,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1843,2.413452713577836
5KPE_2_2_0_combined_id13,1.3492549657821655,1.1196203231811523,85.63944444444445,0.7,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1693,2.6125078554506653
5KPE_2_2_0_combined_id14,1.1200242042541504,1.480077862739563,88.91990740740742,0.74,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1816,2.400522302698206
5KPE_2_2_0_combined_id15,1.1273316144943237,1.3312323093414307,89.84231481481481,0.76,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.171,2.4190131293402777
5KPE_2_2_0_combined_id16,1.4069666862487793,1.2895328998565674,82.36888888888888,0.7,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1844,2.173071402090568
5KPE_2_2_0_combined_id17,9.791543006896973,9.743022918701172,86.40490740740742,0.67,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1803,2.1077423095703125
5KPE_2_2_0_combined_id18,1.7453550100326538,1.413529872894287,89.5409259259259,0.78,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1917,2.215272691514757
5KPE_2_2_0_combined_id19,10.083966255187988,10.920117378234863,77.40601851851854,0.63,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2166,2.1085288436324507
5KPE_2_2_0_combined_id2,1.4323430061340332,1.633203148841858,85.35990740740739,0.71,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1713,2.593764693648726
5KPE_2_2_0_combined_id20,1.7682280540466309,1.0878299474716187,91.65064814814816,0.81,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2065,2.130413196705006
5KPE_2_2_0_combined_id21,1.3660950660705566,1.5934267044067383,91.91203703703704,0.78,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2052,1.946174056441696
5KPE_2_2_0_combined_id22,1.4736576080322266,1.2522406578063965,87.09055555555557,0.71,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2056,2.11786792896412
5KPE_2_2_0_combined_id23,10.758996963500977,10.612852096557617,71.875,0.56,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1917,2.144198947482639
5KPE_2_2_0_combined_id24,1.5316534042358398,1.6980812549591064,92.87935185185188,0.83,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1869,2.259932765254268
5KPE_2_2_0_combined_id3,1.5882079601287842,1.544791579246521,82.44064814814811,0.65,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1744,2.2520809880009405
5KPE_2_2_0_combined_id4,1.2403273582458496,1.512168526649475,88.98111111111113,0.76,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1867,2.664033395272714
5KPE_2_2_0_combined_id5,1.2873692512512207,1.4714237451553345,89.64009259259258,0.75,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1911,2.2927414222999856
5KPE_2_2_0_combined_id6,1.385384202003479,1.2761632204055786,89.40250000000002,0.76,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1883,2.504256071867766
5KPE_2_2_0_combined_id7,1.523680329322815,1.4392060041427612,92.16092592592592,0.8,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.1734,2.1429658112702548
5KPE_2_2_0_combined_id8,1.5019702911376953,1.4582748413085938,92.0250925925926,0.81,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2029,2.374302899395978
5KPE_2_2_0_combined_id9,10.968446731567383,10.53444766998291,85.78092592592591,0.69,2,2,86.15009259259259,1.0889322757720947,20.796156,71.92844,0.2094,2.0155631171332464
5KPE_2_2_1_combined_id1,1.3447188138961792,1.0087870359420776,87.03666666666666,0.72,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1948,2.17752527307581
5KPE_2_2_1_combined_id10,2.1512610912323,1.957094430923462,91.26611111111112,0.79,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1755,2.46933831108941
5KPE_2_2_1_combined_id11,1.1051602363586426,1.5318537950515747,89.54629629629632,0.74,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.176,2.4756712736906827
5KPE_2_2_1_combined_id12,1.222272276878357,1.2257229089736938,87.24111111111112,0.73,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1843,2.4408931025752314
5KPE_2_2_1_combined_id14,1.2749686241149902,1.357612133026123,88.96305555555556,0.79,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1631,2.702170760543258
5KPE_2_2_1_combined_id15,1.5677802562713623,1.976813554763794,89.45564814814814,0.75,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1792,2.0452021846064814
5KPE_2_2_1_combined_id16,1.5279308557510376,1.1437792778015137,84.13472222222224,0.68,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.2198,2.166733070656105
5KPE_2_2_1_combined_id17,1.075766682624817,1.5630009174346924,89.81833333333333,0.74,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1822,2.320882726598669
5KPE_2_2_1_combined_id18,1.3809702396392822,1.2819902896881104,89.55601851851851,0.73,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1726,2.4118256745515048
5KPE_2_2_1_combined_id19,1.1690932512283325,1.2253023386001587,91.67074074074074,0.77,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.201,2.175184461805556
5KPE_2_2_1_combined_id2,1.5655912160873413,1.2094321250915527,85.94500000000001,0.71,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1848,1.91982580114294
5KPE_2_2_1_combined_id20,1.2362046241760254,1.3724110126495361,91.2001851851852,0.78,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1984,1.9938614456741897
5KPE_2_2_1_combined_id21,1.2812706232070923,1.2374037504196167,91.6876851851852,0.79,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1874,1.6893094380696614
5KPE_2_2_1_combined_id22,1.5333991050720215,1.1575206518173218,87.78388888888888,0.76,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.208,2.0343058550799333
5KPE_2_2_1_combined_id23,1.6290466785430908,1.2081396579742432,82.16351851851853,0.65,2,2,88.91898148148148,0.6073800921440125,20.498295,71.06506,0.1735,2.302100004973235
